code_postale;nom_commune
39800;aumont
39700;auxange
39200;avignon les st claude
39380;bans
39100;baverans
39190;beaufort orbagna
39400;bellefontaine
39380;belmont
39800;bersaillin
39110;bracon
39800;buvilly
39240;cernon
39150;les chalesmes
39250;charency
39130;charezier
39210;chateau chalon
39230;le chateley
39130;chatillon
39200;nanchez
39110;chaux champagny
39570;chille
39110;chilly sur salins
39380;chissey sur loue
39140;commenailles
39570;courlans
39570;courlaoux
39700;courtefontaine
39260;coyron
39210;hauteroche
39260;crenans
39100;crissey
39700;dampierre
39130;denezieres
39120;le deschaux
39230;les deux fays
39190;digna
39100;dole
39270;dompierre sur mont
39240;dramelay
39160;val d epy
39320;val d epy
39300;equevillon
9200;alos
39130;etival
9400;arignac
39230;francheville
9460;artigues
39130;le frasnois
9140;aulus les bains
39110;geraise
9800;balacet
39380;germigney
9500;la bastide de bousignac
39570;gevingey
9240;la bastide de serou
39150;grande riviere chateau
9600;la bastide sur l hers
39320;graye et charnay
9600;belloc
39110;ivrey
9300;benaix
39210;ladoye sur seille
9800;bethmale
9800;bordes uchentein
39140;larnaud
9700;brie
39250;la latette
9290;camarade
39170;lavans les st claude
9500;camon
39170;lavans les st claude
9460;carcanieres
39170;lavans les st claude
9500;cazals des bayles
39210;lavigny
9230;cerizols
39210;lavigny
9310;chateau verdun
39260;lect
39110;lemuy
39300;lent
39250;longcochon
39380;la loye
39270;marnezia
39600;mesnay
39250;mignovillard
39250;mignovillard
39800;molain
39500;molay
39230;monay
39100;monnieres
39800;montholier
39600;montigny les arsures
39300;montigny sur l ain
39290;montmirey la ville
39290;montmirey le chateau
39300;montrond
39400;morbier
39250;mournans charbonny
39310;les moussieres
39300;moutoux
39160;les trois chateaux
39270;nancuise
39300;les nans
39380;nevy les dole
39210;nevy sur seille
39290;offlanges
39270;onoz
39270;orgelet
39350;pagney
39230;passenans
39120;peseux
39800;picarreau
39800;plasne
39570;poids de fiole
39800;poligny
39300;pont du navoy
39120;rahon
39190;rotalier
39270;rothonay
39350;rouffange
39220;les rousses
39400;les rousses
39190;ste agnes
39200;st claude
39600;st cyr montmalin
39570;st didier
39320;val suran
39320;val suran
39170;coteaux du lizon
39570;st maur
39130;st maurice crillat
39700;salans
39380;santans
39270;sarrogna
39130;songeson
39130;soucia
39380;souvans
39120;tassenieres
39270;la tour du meix
39570;trenal
39570;verges
39800;villerserine
39600;villette les arbois
39230;le villey
39190;val sonnette
39190;val sonnette
39230;vincent froideville
39240;vosbles valfin
58270;anlezy
58800;anthien
58430;arleuf
58420;asnan
58110;aunay en bazois
58110;biches
58270;billy chevannes
58120;blismes
58530;breves
58000;challuy
58700;champlin
58300;champvert
58800;chaumot
58350;colmery
58800;corbigny
58300;cossaye
58190;dirol
58120;dommartin
58140;empury
58800;epiry
58600;garchizy
58300;lamenay sur loire
58140;lormes
58380;lucenay les aix
58260;la machine
58400;mesves sur loire
58190;metz le comte
58140;mhere
58190;moissy moulinot
58250;montaron
58130;montigny aux amognes
58230;montsauche les settons
58700;moussy
58450;neuvy sur loire
58320;parigny les vaux
58220;perroy
58200;pougny
58400;raveau
58500;rix
58110;rouy
58470;saincaize meauce
58310;st amand en puisaye
58150;st andelain
58130;st aubin les forges
58270;st benin d azy
58230;st brisson
58220;ste colombe des bois
58190;st didier
58210;st germain des bois
58120;st hilaire en morvan
58130;st martin d heuille
58490;st parize le chatel
58110;st pereuse
58210;st pierre du mont
58330;st saulge
58190;saizy
58160;sauvigny les bois
58170;savigny poil fol
58290;sermages
58300;sougy sur loire
58420;taconnay
58110;tamnay en bazois
58250;ternant
58110;tintury
58150;tracy sur loire
58260;trois vevres
58640;varennes vauzelles
58140;vauclaix
58370;villapourcon
58210;villiers le sec
39500;abergement la ronce
39110;aiglepierre
39110;andelot en montagne
39120;annoire
39600;arbois
39300;ardon
39240;arinthod
39600;les arsures
39270;la chailleuse
39190;augea
39270;augisey
39100;authume
39130;baresia sur l ain
39800;bersaillin
39250;bief du fourg
39140;bletterans
39130;boissia
39800;brainans
39110;cernans
39570;cesancey
39380;chamblay
39290;champagney
39300;champagnole
39500;champdivers
39230;champrougier
39230;la chassagne
39130;chatel de joux
39150;la chaumusse
39150;chaux des crotenay
39150;nanchez
39240;st hymetiere sur valouse
39240;st hymetiere sur valouse
39240;st hymetiere sur valouse
39190;chevreaux
39130;chevrotaine
39370;choux
39570;courbette
39300;crans
39270;cressia
39230;darbonnay
39140;desnes
39230;domblans
39270;ecrille
39160;val d epy
39320;val d epy
39570;l etoile
39700;falletans
39800;fay en montagne
39600;la ferte
39130;fontenu
39250;fraroz
39210;frontenay
39320;gigny
39150;grande riviere chateau
39120;les hays
39110;ivory
39360;larrivoire
39260;lect
39240;valzin en petite montagne
39400;longchaumois
39000;lons le saunier
39700;malange
39230;mantry
39240;marigna sur valouse
39130;marigny
39600;mathenay
39130;mesnois
39570;messia sur sorne
39250;mieges
39250;mieges
39250;mignovillard
39290;moissey
39360;chassal molinges
39320;monnetay
39210;montain
39400;morbier
39400;hauts de bienne
39330;mouchard
39270;moutonne
39160;les trois chateaux
39140;nance
39120;neublans abergement
39250;nozeroy
39270;orgelet
39700;our
39300;le pasquier
39130;patornay
39290;peintre
39270;pimorin
39210;plainoiseau
39130;pont de poitte
39110;pont d hery
39110;pont d hery
39270;presilly
39110;pretin
39600;pupillin
39570;quintigny
39290;rainans
39230;rye
39410;st aubin
39300;st germain en montagne
39320;val suran
39230;st lamain
39150;st laurent en grandvaux
39120;st loup
39150;st pierre
39110;st thiebaud
39110;saizenay
39120;seligney
39300;supt
39300;syam
39500;tavaux
39110;thesy
39240;thoirette coisia
39240;thoirette coisia
39600;vadans
39300;valempoulieres
39300;vannoz
39300;le vaudioux
39800;vaux sur poligny
39570;vernantois
39240;vescles
39570;vevy
39260;villards d heria
39570;villeneuve sous pymont
39600;villers farlay
39230;vincent froideville
39210;voiteur
39700;vriange
21121;ahuy
21510;aignay le duc
21230;allerey
21420;aloxe corton
21230;antigny la ville
21310;arceau
21350;arnay sous vitteaux
21360;aubaine
21580;avot
21410;baulme la roche
21320;bellenot sous pouilly
21360;bessey en chaume
21110;bessey les citeaux
21520;bissey la cote
21330;bissey la pierre
21690;source seine
21200;bligny les beaune
21360;bligny sur ouche
21330;bouix
21350;brain
21390;braux
21390;brianny
21500;buffon
21110;cessey sur tille
21320;chailly sur armancon
21290;chambain
21400;chamesson
21500;champ d oiseau
21310;charmes
21170;charrey sur saone
21400;chatillon sur seine
21360;chaudenay le chateau
21290;chaugey
21400;chaumont le bois
21220;valforet
21270;clery
21110;collonges et premieres
21200;combertault
21700;comblanchien
21320;commarin
21150;corpoyer la chapelle
21120;courtivron
21120;crecey sur tille
21220;curley
21120;dienay
21000;dijon
21320;eguilly
21500;eringes
21510;etalante
21270;etevaux
21450;etormay
21290;faverolles les lucey
21490;flacey
21150;flavigny sur ozerain
21140;le val larrey
21410;fleurey sur ouche
21260;foncegrive
21220;gevrey chambertin
21640;gilly les citeaux
21580;grancey le chateau neuvelle
21570;grancey sur ource
21150;gresigny ste reine
21230;jouey
21450;jours les baigneux
21210;juillenay
21130;labergement les auxonne
21440;lamargelle
21370;lantenay
21170;laperriere sur saone
21330;larrey
21110;longeault pluvault
21290;lucey
21450;magny lambert
21170;magny les aubigny
21400;maisey le duc
21350;marcellois
21200;marigny les reullee
21190;mavilly mandelot
21190;merceuil
21140;millery
21510;moitron
21200;montagny les beaune
21610;montigny mornay villeneuve vingeanne
21610;montigny mornay villeneuve vingeanne
21210;montlay en auxois
21540;montoillot
21320;mont st jean
21500;moutiers st jean
21800;neuilly crimolois
21400;nod sur seine
21910;noiron sous gevrey
21700;nuits st georges
21490;orgeux
21450;orret
21260;orville
21370;pasques
21120;poiseul les saulx
21270;pontailler sur saone
21140;pont et massene
21350;posanges
21150;pouillenay
21390;precy sous thil
21190;puligny montrachet
21540;remilly en montagne
21220;reulle vergy
21570;riel les eaux
21530;la roche en brenil
21350;saffres
21510;st germain le rocheux
21230;st pierre en vaux
21500;st remy
21320;ste sabine
21130;st seine en bache
21170;samerey
21910;saulon la rue
21120;saulx le duc
21380;savigny le sec
21430;savilly
21310;savolles
21260;selongey
21110;soirans
21350;soussey sur brionne
21430;sussey
21190;tailly
21270;tellecey
21220;ternant
21570;thoires
21340;thury
21130;tillenay
21440;trouhaut
21220;urcy
21400;vannaire
21400;vanvey
21370;velars sur ouche
21390;vic sous thil
21270;vielverge
21700;villars fontaine
21140;villars et villenotte
21120;villecomte
21450;la villeneuve les convers
21140;villeneuve sous charigny
21120;villey sur tille
21690;villotte st seine
21500;viserny
21700;vosne romanee
21290;voulaines les templiers
2420;bony
21560;arc sur tille
2160;bourg et comin
21700;argilly
2000;bourguignon sous montbavin
21170;aubigny en plaine
2400;brasles
21130;auxonne
2480;bray st christophe
21510;beaulieu
2210;brecy
21310;beaumont sur vingeanne
2210;breny
21200;beaune
2500;buire
21310;beire le chatel
2200;buzancy
21310;belleneuve
2260;la capelle
21500;benoisey
2490;caulaincourt
21350;beurizot
2320;cessieres suzy
21220;bevy
2880;chavigny
21310;beze
2860;chermizy ailles
21130;billey
2000;chevregny
21450;billy les chanceaux
2880;clamecy
21540;blaisy bas
21320;blancey
21690;source seine
21250;bonnencontre
21350;boussey
21400;bremur et vaurois
21490;brognon
21400;buncey
21510;busseaut
21580;busserotte et montenaille
21360;la bussiere sur ouche
21120;chaignay
21220;chamboeuf
21690;champrenault
21440;chanceaux
21350;charny
21400;charrey sur seine
21320;chateauneuf
21610;chaume et courchamp
21260;chazeuil
21540;chevannay
21250;corberon
21190;corcelles les arts
21910;corcelles les citeaux
21460;corrombles
21520;courban
21500;crepand
21360;crugey
21230;cussy le chatel
21121;daix
21220;detain et bruant
21270;drambon
21540;dree
21510;duesme
21120;echevannes
21290;essarois
21500;etais
21400;etrochey
21640;flagey echezeaux
21230;foissy
21450;fontaines en duesmois
21121;fontaine les dijon
21700;fussey
21140;genay
21250;glanon
21330;griselles
21250;grosbois les tichey
25320;abbans dessous
21290;gurgy le chateau
25310;abbevillers
21121;hauteville les dijon
25270;arc sous montenot
21270;heuilley sur saone
25150;autechaux roide
21250;jallanges
25720;avanne aveney
21310;jancigny
25110;baume les dames
21110;labergement foigney
25380;belleherbe
21140;lantilly
25430;belvoir
21250;lechatelet
25420;berche
21520;lignerolles
25410;berthelange
21520;louesme
25000;besancon
21120;lux
25640;blarians
21320;maconge
25210;la bosse
21310;magny st medard
25360;bouclans
21410;malain
25250;bournois
21230;maligny
25320;boussieres
21700;marey les fussey
25640;braillans
2390;mont d origny
21120;marey sur tille
25440;breres
2540;montfaucon
21150;marigny le cahouet
25380;bretonvillers
2600;montgobert
21380;marsannay le bois
25240;brey et maison du bois
2210;montgru st hilaire
21510;mauvilly
25640;cendrey
2400;monthiers
21190;meloisey
25220;chalezeule
2250;montigny le franc
21430;menessaire
25170;champagney
2270;montigny sur crecy
21340;molinot
25240;chapelle des bois
2220;mont st martin
21360;montceau et echarnant
25140;charquemont
2360;morgny en thierache
21610;montigny mornay villeneuve vingeanne
25140;charquemont
2270;mortiers
21400;montliot et courcelles
25290;chassagne st denis
2160;muscourt
21290;montmoyen
25650;la chaux
2210;nanteuil notre dame
21150;mussy la fosse
25440;chenecey buillon
2300;la neuville en beine
21190;nantoux
25620;la chevillotte
2100;neuville st amand
21390;noidan
25870;chevroz
2860;neuville sur ailette
21340;nolay
25420;courcelles les montbeliard
2880;neuville sur margival
21490;norges la ville
25240;le crouzet
2390;neuvillette
21390;normier
25680;cuse et adrisans
2400;nogentel
21310;oisilly
25150;dambelin
2340;noircourt
21600;ouges
25490;dampierre les bois
2800;nouvion le comte
21250;pagny la ville
25560;dompierre les tilleuls
2860;nouvion le vineux
21270;perrigny sur l ognon
25550;dung
2290;nouvron vingre
21120;pichanges
25580;echevannes
2550;origny en thierache
21500;planay
25640;l ecouvotte
2160;oulches la vallee foulon
21450;poiseul la ville et laperriere
25530;epenouse
2210;oulchy la ville
21630;pommard
25110;esnans
2210;oulchy le chateau
21440;poncey sur l ignon
25580;etalans
2210;oulchy le chateau
21130;pont
25460;etupes
2220;paars
21500;quincerot
25330;flagey
2160;paissy
21700;quincey
25660;fontain
2160;pargnan
21500;quincy le vicomte
25140;frambouhans
2000;pargny filain
21150;la roche vanneau
25770;franois
2470;passy en valois
21500;rougemont
25250;geney
2300;pierremande
21110;rouvres en plaine
25640;germondans
21200;ruffey les beaune
25190;glere
21260;sacquenay
25680;gouhelans
21540;st anthot
25520;goux les usiers
21530;st germain de modeon
25160;les grangettes
21500;st germain les senailly
25110;guillon les bains
21200;ste marie la blanche
25580;guyans durnes
21210;st martin de la mer
25390;guyans vennes
21610;st maurice sur vingeanne
25300;houtaud
21700;st nicolas les citeaux
25110;hyevre paroisse
21140;semur en auxois
25110;hyevre paroisse
21140;souhey
25720;larnod
21110;tart
25580;lavans vuillafans
21150;thenissey
25270;levier
21460;thoste
25390;loray
21460;torcy et pouligny
25260;lougres
21250;trugny
25650;maisons du bois lievremont
21350;uncey le franc
25650;maisons du bois lievremont
21320;vandenesse en auxois
25120;mancenans lizerne
21110;varanges
25170;mazerolles le salin
21260;vernois les vesvres
25250;mediere
21260;veronnes
25660;les monts ronds
21690;verrey sous salmaise
25870;moncey
21430;vianges
25680;mondon
21330;villedieu
25190;montecheroux
21700;villers la faye
25110;montivernage
21130;villers les pots
25190;montjoie le chateau
21400;villiers le duc
25270;montmahoux
21350;vitteaux
25160;montperreux
21270;vonges
25440;myon
21640;vougeot
25360;naisey les granges
25360;nancray
25680;nans
25500;noel cerneux
25640;ollans
25120;orgeans blanchefontaine
25440;pessans
25160;la planee
25150;pont de roide vermondans
25410;pouilley francais
25550;presentevillers
25250;la pretiere
25640;le puy
25440;quingey
25430;randevillers
25370;rochejean
25440;ronchaux
2160;la ville aux bois les pontavert
25410;roset fluans
25680;rougemont
25210;le russey
25270;ste anne
25520;st gorgon main
25113;ste marie
25260;st maurice colombier
25430;sancey
25330;saraz
25110;sechin
25230;seloncourt
25330;silley amancey
25470;thiebouhans
25640;la tour de scay
25620;trepot
25680;trouvans
25340;uzelle
25220;vaire
25220;vaire
25640;val de roulans
25380;vaucluse
25360;vaudrivillers
25110;verne
25580;vernierfontaine
25430;vernois les belvoir
5800;aspres les corps
5800;la chapelle en valgaudemar
5800;villar loubiere
7000;ajoux
7120;balazuc
7120;chauzon
7000;creysseilles
7110;laboule
7110;loubaresse
7000;lyas
7140;malarce sur la thines
7160;belsentes
7150;orgnac l aven
7120;ruoms
7160;st barthelemy le meil
7160;st christol
7190;st julien du gua
7140;st pierre st jean
7190;st sauveur de montagut
7110;tauriers
7130;toulaud
7110;uzer
7140;les vans
7140;les vans
25340;abbenans
25300;les allies
25340;anteuil
25400;arbouans
25610;arc et senans
25110;autechaux
25720;avanne aveney
25490;badevel
25380;battenans varin
25250;beutal
25250;blussangeaux
25250;blussans
25870;bonnay
25560;boujailles
25530;bremondans
25120;les breseux
25110;bretigney notre dame
25440;buffard
25520;bugny
25170;burgille
25290;cademene
25300;chaffois
25220;chaleze
25640;champoux
25470;charmauvillers
25380;charmoille
25240;chatelblanc
25870;chatillon le duc
25170;chaucenne
25530;chaux les passavant
25500;la chenalotte
25340;pays de clerval
25410;corcelles ferrieres
25170;courchapon
25380;cour st maurice
25340;crosey le grand
25420;dampierre sur le doubs
25190;dampjoux
25410;dannemarie sur crete
25870;devecey
25550;echenans
25620;etalans
25330;eternoz
25330;eternoz
25800;etray
25520;evillers
25640;flagey rigney
25390;flangebouche
25190;fleurey
25340;fontaine les clerval
25210;les fontenelles
25110;fourbanne
25140;fournet blancheroche
25560;frasne
25660;gennes
25680;gondenans les moulins
25570;grand combe chateleu
25380;la grange
25370;les hopitaux vieux
25110;hyevre magny
25550;issans
25530;landresse
25260;longevelle sur doubs
25360;magny chatelard
25330;malans
25160;malbuisson
25160;malpas
25350;mandeure
25210;le memont
25680;mesandans
25370;metabief
25680;montagney servigney
25190;montandon
25650;montbenoit
25170;le moutherot
25580;les premiers sapins
25190;noirefontaine
25170;noironte
25220;novillars
25390;orchamps vennes
25290;ornans
25530;orsans
25320;osselle routelle
25640;ougney douvot
2450;boue
25160;oye et pallet
2140;la bouteille
25440;palantine
2140;braye en thierache
25870;palise
2880;braye
25390;plaimbois vennes
2130;bruyeres sur fere
25440;le val
2620;buironfosse
25110;pont les moulins
2140;burelles
25680;puessans
2330;celles les conde
25150;remondans vaivre
2370;celles sur aisne
25330;reugney
2320;cessieres suzy
25640;rignosot
2200;chacrise
25220;roche lez beaupre
2860;chamouille
25680;rognon
2570;la chapelle sur chezy
25680;romain
2850;le charmel
25240;rondefontaine
2370;chavonne
25380;rosureux
2860;cheret
25340;st georges armont
2360;chery les rozoy
25190;st hippolyte
2250;chevennes
25360;st juan
2570;chezy sur marne
25160;st point lac
2350;chivres en laonnois
25440;samson
2210;chouy
25240;sarrageois
2260;clairfontaine
25270;septfontaines
25770;serre les sapins
25430;servin
25510;la sommette
25250;soye
25870;tallenay
9240;aigues juntes
25620;tarcenay foucherans
9800;argein
25680;tournans
9120;artix
25470;trevillers
9100;arvigna
25220;vaire
9110;ascou
25870;valleroy
9800;aucazein
25190;valoreille
9800;augirein
25230;vandoncourt
9220;auzat
25380;vauclusotte
9250;axiat
25430;vellerot les belvoir
9110;ax les thermes
25530;vellerot les vercel
9230;bagert
25110;vergranne
9800;balagueres
25750;le vernoy
9700;la bastide de lordat
25600;vieux charmont
9000;baulou
9800;buzan
9350;campagne sur arize
9130;carla bayle
9100;le carlaret
9800;castillon en couserans
9160;caumont
9250;caussou
9250;caychax
9230;contrazy
9000;cos
2110;montigny en arrouaise
2330;montlevon
2100;morcourt
2290;morsain
2160;moulins
2160;moussy verneuil
2140;nampcelles la cour
2420;nauroy
2250;la neuville bosmont
2250;la neuville housset
2450;la neuville les dorengt
2310;nogent l artaud
2270;nouvion et catillon
2120;noyales
2160;oeuilly
2600;oigny en valois
2200;pasly
2120;villers les guise
2140;voulpaix
7160;accons
7160;le chambon
7130;chateaubourg
7000;flaviac
7000;gourdon
7150;lagorce
7170;lavilledieu
7170;lussas
7140;malarce sur la thines
7140;malbosc
7000;pourcheres
7120;pradons
7100;roiffieux
7160;st andeol de fourchades
7170;st germain
7000;st julien en st alban
7170;st laurent sous coiron
7170;st maurice d ibie
7150;salavas
7140;les salelles
7110;vinezac
9320;aleu
9240;allieres
9130;artigat
9800;audressein
9350;la bastide de besplas
9160;la bastide du salat
9230;bedeille
9300;belesta
9000;benac
9320;biert
9100;bonnac
9350;les bordes sur arize
9000;le bosc
9240;cadarcet
9700;cante
9400;capoulet et junac
9000;celles
58230;alligny en morvan
58190;amazy
58350;arbourse
58700;arthel
58190;asnois
58420;beaulieu
58420;beaulieu
58310;bitry
58310;bouhy
58140;brassy
58400;bulcy
58420;bussy la pesle
58440;la celle sur loire
58700;la celle sur nievre
58210;la chapelle st andre
58350;chateauneuf val de bargis
58110;chatillon en bazois
58700;chazeuil
58500;chevroches
58170;chiddes
58220;ciez
58460;corvol l orgueilleux
58220;couloutre
58210;courcelles
58210;cuncy les varzy
58310;dampierre sous bouhy
58700;arzembouy
58300;decize
58170;avree
58300;devay
58300;avril sur loire
58220;donzy
58190;bazoches
58160;la fermete
58110;bazolles
58240;fleury sur loire
58500;billy sur oisy
58270;frasnay reugny
58460;breugnon
58230;gien sur cure
58800;cervon
58700;giry
58220;cessy les bois
58130;guerigny
58140;chalaux
58290;isenay
58420;challement
58250;lanty
58350;chasnay
58230;lavault de fretoy
58120;chateau chinon ville
58700;lurcy le bourg
58120;chateau chinon campagne
58190;la maison dieu
58120;chatin
58290;maux
58400;chaulgnes
58410;menestreau
58420;chevannes changy
58440;myennes
58110;chougny
58190;neuffontaines
58500;clamecy
58250;la nocle maulaix
58500;clamecy
58190;nuars
58210;corvol d embernard
58110;ougny
58200;cosne cours sur loire
58130;vaux d amognes
58660;coulanges les nevers
58230;planchez
58410;entrains sur nohain
58170;poil
58250;fours
58140;pouques lormes
58150;garchy
58250;remilly
58150;garchy
58230;st agnan
58470;gimouille
58190;st aubin des chaumes
58230;gouloux
58200;st loup des bois
58420;grenois
58140;st martin du puy
58290;limanton
58150;st martin sur nohain
58270;limon
58300;st parize en viry
58470;magny cours
58490;st parize le chatel
58800;magny lormes
58240;st pierre le moutier
58400;la marche
58150;st quentin sur nohain
58180;marzy
58420;st reverien
58210;menou
58270;st sulpice
58170;millay
58240;toury sur jour
58250;montambert
58400;tronsanges
58700;montenoison
58290;vandenesse
58420;moraches
58700;murlin
58300;neuville les decize
58000;nevers
58500;ouagne
58130;vaux d amognes
58210;parigny la rose
58320;pougues les eaux
58190;ruages
58140;st andre en morvan
58000;st eloi
58300;st germain chassenay
58340;st gratien savigny
58120;st leger de fougeret
58200;st pere
58190;talon
58170;tazilly
58250;thaix
58400;varennes les narcy
58300;verneuil
58190;vignol
58500;villiers sur yonne
58420;vitry lache
58200;alligny cosne
58500;armes
58420;beaulieu
58700;beaumont la ferriere
58210;beuvron
58420;brinon sur beuvron
58340;cercy la tour
58000;challuy
58240;chantenay st imbert
58400;la charite sur loire
58300;charrin
58270;cizely
58800;la collancelle
58200;cosne cours sur loire
58330;crux la ville
58340;diennes aubigny
58530;dornecy
58390;dornes
58160;druy parigny
58110;dun sur grandry
58270;fertreve
58170;flety
58190;flez cuzy
58600;fourchambault
58140;gacogne
21700;agencourt
58320;germigny sur loire
21360;antheuil
58370;glux en glenne
21230;arnay le duc
58420;guipy
21500;arrans
58240;langeron
21500;asnieres en montagne
58370;larochemillay
21380;asnieres les dijon
58240;livry
21500;athie
58140;marigny l eglise
21360;auxant
58240;mars sur allier
21450;baigneux les juifs
58800;marigny sur yonne
21330;balot
58120;montigny en morvan
21410;barbirey sur ouche
58340;montigny sur canne
21570;belan sur ource
58290;moulins engilbert
21360;bessey la cour
58350;nannay
21610;bourberain
58420;neuilly
21690;boux sous salmaise
58700;nolay
21200;bouze les beaune
58500;oisy
21430;brazey en morvan
58700;oulon
21490;bretigny
58130;poiseux
21220;brochon
58150;pouilly sur loire
21250;broin
58500;pousseaux
21220;broindon
58700;premery
21330;cerilly
58360;preporche
21110;chambeire
58330;st benin des bois
21230;champignolles
58270;st firmin
21330;channay
58330;st franchy
21150;chassey
58300;st hilaire fontaine
21320;chatellenot
58360;st honore les bains
21520;la chaume
58150;st laurent l abbaye
21400;chemin d aisey
58350;st malo en donziois
21310;cheuge
58310;st verain
21220;chevannes
58800;sardy les epiry
21820;chivres
58160;sauvigny les bois
21390;clamerey
58330;saxi bourdon
21230;clomot
58000;sermoise sur loire
21160;corcelles les monts
58700;sichamps
21250;corgengoux
58500;surgy
21700;corgoloin
58190;tannay
21340;cormot vauchignon
58260;thianges
21340;cormot vauchignon
58300;toury lurcy
21460;corsaint
58130;urzy
21500;courcelles les montbard
58210;varzy
21560;couternon
58150;vielmanay
21230;culetre
21220;curtil vergy
21360;cussy la colonne
21190;ebaty
21540;echannay
21170;esbarres
21121;etaules
21110;fauverney
21220;fixin
21160;flavignerot
21330;fontaines les seches
21460;forleans
21500;fresnes
21700;gerland
21520;les goulles
21290;gurgy la ville
21150;hauteroche
21120;is sur tille
21110;izier
21340;val mont
21140;juilly
21230;lacanche
21110;longchamp
21170;losne
21700;magny les villers
21130;les maillys
21430;manlay
21270;marandeuil
21350;marcilly et dracy
21320;marcilly ogny
21120;marcilly sur tille
21500;marmagne
21350;massingy les vitteaux
21290;menesble
21540;mesmont
21700;meuilley
21190;meursault
21510;minot
21330;molesme
21120;moloy
21210;molphey
21190;monthelie
21390;montigny st barthelemy
21170;montot
21210;la motte ternant
21330;nesle et massoult
21800;neuilly crimolois
21400;noiron sur seine
21510;origny
21700;premeaux prissey
21370;prenois
21560;remilly sur tille
21320;rouvres sous meilly
21410;st jean de boeuf
21450;st marc sur seine
21440;st martin du mont
21190;st romain
21170;st symphorien sur saone
21580;salives
21690;salmaise
21380;saussy
21420;savigny les beaune
21800;sennecey les dijon
21550;ladoix serrigny
21530;sincey les rouvray
21270;soissons sur nacey
21540;sombernon
21430;sussey
21310;tanay
21210;thoisy la berchere
21360;thomirey
21110;thorey en plaine
21120;til chatel
21310;trocheres
21540;turcey
21121;val suzon
21490;varois et chaignot
21360;veilly
21540;verrey sous dree
21350;vesvres
21360;vic des pres
21460;vieux chateau
21310;vievigne
21230;vievy
21400;villers patras
21130;villers rotin
21430;villiers en morvan
25750;aibre
25360;aissey
25490;allenjoie
25550;allondans
25330;amathay vesigneux
25330;amondans
25340;anteuil
25250;appenans
25750;arcey
25170;audeux
25560;bannans
25210;le barboux
25640;battenans les mines
25110;baume les dames
25470;belfays
25500;le belieu
25530;belmont
25720;beure
25310;blamont
25680;bonnal
25560;bouverans
25640;breconchaux
